schemaVersion,recordType,productName,startupName,pricingModel,website,description,category,resolutionStatus,confidenceScore,matchMethod,matchReason,sourceName,sourceURL,collectedAt
1.0,PRODUCT,Gemini 3,,FREEMIUM,https://gemini.google.com,"Gemini 3 is Google's flagship model, available in the Gemini app, across Google Workspace, and through the Vertex AI API. It reads text, images, audio, and video, and its long context window lets it work through very large inputs such as full codebases or hours of transcripts in one go. It is strong on multimodal tasks where the model has to reason across different formats at once, and Google's free tier makes it easy to try before committing to a paid plan.",Models,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://gemini.google.com,
1.0,PRODUCT,Google Veo 3,,PAID,https://deepmind.google/technologies/veo,"Veo 3 is Google DeepMind's video generation model and the successor to Veo 2. It generates clips up to 4K in both landscape and portrait, and it produces sound along with the video instead of leaving you to add it later. It tends to lead on prompt adherence, which makes it a strong pick for narrative scenes and establishing shots where the output has to match a specific brief. It is available through Google Labs and the Vertex AI API for production use.",Video Generator,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://deepmind.google/technologies/veo,
1.0,PRODUCT,GPT Image 2,,PAID,https://openai.com,"GPT Image 2 is OpenAI's image generation model, built into ChatGPT and available through the OpenAI API. It handles the things earlier generators struggled with: readable text inside images, precise edits to an existing picture, and prompts that describe several objects and their positions. In 2026 comparisons it scores at the top for realistic output and prompt accuracy, which is why a lot of teams reach for it as their default for product shots, marketing images, and quick mockups.",Image Generation,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://openai.com,
1.0,PRODUCT,Best of AI,,FREE,https://bestofai.io,"Best of AI is a curated, open source directory of AI tools. Every listing is a Markdown file in a public GitHub repo — browse by category or profession, filter by price, search, or check the leaderboard for top-ranked picks. Free to browse; full index at /index.json.",AI Directories,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://bestofai.io,
1.0,PRODUCT,AI for Developers,&AI,FREE,https://aifordevelopers.substack.com/,"A Substack newsletter for developers who want to actually use AI in their work, with tutorials, tool picks, and hands-on examples.",AI Newsletters,MATCHED,80,description_company,Startup name explicitly mentioned in product description,Best of AI,https://aifordevelopers.substack.com/,
1.0,PRODUCT,Altern Newsletter,,FREE,https://newsletter.altern.ai/,"The Altern team's weekly pick of new AI tools, resources, and community finds.",AI Newsletters,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://newsletter.altern.ai/,
1.0,PRODUCT,Superhuman AI,&AI,FREE,https://www.superhumanai.com/,"Zain Kahn's newsletter on using AI practically, with tool reviews and workflow ideas for getting more out of the tools you already have.",AI Newsletters,MATCHED,80,description_company,Startup name explicitly mentioned in product description,Best of AI,https://www.superhumanai.com/,
1.0,PRODUCT,SwiftAlerts,,FREE,https://swiftalerts.trade,"A live market-context graph for AI agents: real-time order flow, dealer gamma, institutional holdings, insider and political trades, SEC filings, and executive sentiment, all connected and queryable so agents reason from grounded primary data, not stale training.",Finance,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://swiftalerts.trade,
1.0,PRODUCT,The Neuron,,FREE,https://www.theneurondaily.com/,"A daily newsletter covering new models, tools, and research without the hype.",AI Newsletters,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,Best of AI,https://www.theneurondaily.com/,
1.0,PRODUCT,The Rundown AI,&AI,FREE,https://www.therundown.ai/,"Over 600,000 people read The Rundown AI's daily brief on what happened in AI. Short summaries, no padding.",AI Newsletters,MATCHED,80,description_company,Startup name explicitly mentioned in product description,Best of AI,https://www.therundown.ai/,
