schemaVersion,recordType,productName,productWebsite,startupName,startupWebsite,matchStatus,confidenceScore,matchMethod,matchReason,startupSourceUrl,mappedAt
1.0,ENTITY_MAPPING,Gemini 3,https://gemini.google.com,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:12.810413+00:00
1.0,ENTITY_MAPPING,Google Veo 3,https://deepmind.google/technologies/veo,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:12.979244+00:00
1.0,ENTITY_MAPPING,GPT Image 2,https://openai.com,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.119617+00:00
1.0,ENTITY_MAPPING,Best of AI,https://bestofai.io,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.221166+00:00
1.0,ENTITY_MAPPING,AI for Developers,https://aifordevelopers.substack.com/,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:13.296302+00:00
1.0,ENTITY_MAPPING,Altern Newsletter,https://newsletter.altern.ai/,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.372801+00:00
1.0,ENTITY_MAPPING,Superhuman AI,https://www.superhumanai.com/,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:13.450651+00:00
1.0,ENTITY_MAPPING,SwiftAlerts,https://swiftalerts.trade,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.535271+00:00
1.0,ENTITY_MAPPING,The Neuron,https://www.theneurondaily.com/,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.602418+00:00
1.0,ENTITY_MAPPING,The Rundown AI,https://www.therundown.ai/,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:13.675298+00:00
1.0,ENTITY_MAPPING,AICode,https://ai-code.ai,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:13.744905+00:00
1.0,ENTITY_MAPPING,Anomaly AI,https://www.findanomaly.ai,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:13.813958+00:00
1.0,ENTITY_MAPPING,Deepseek Vision,https://chat.deepseek.com,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.889410+00:00
1.0,ENTITY_MAPPING,Igly,https://igly.ai,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:13.974296+00:00
1.0,ENTITY_MAPPING,QuillBotAI Pro — Free AI Content Detector for Educators & Publishers,https://quillbotai.pro,,,UNRESOLVED,80,ambiguous,Multiple startups have similar evidence; mapping intentionally left unresolved,,2026-09-06T04:43:14.056947+00:00
1.0,ENTITY_MAPPING,Submit AI Tools,https://submitaitools.org,&AI,https://www.tryandai.com/,MATCHED,80,description_company,Startup name explicitly mentioned in product description,https://www.ycombinator.com/companies/ai-2,2026-09-06T04:43:14.144614+00:00
